a côté du #coronavirus, la #chine affronte un autre fléau viral, la #fpa pour fièvre porcine africaine qui a décimé le cheptel du pays. une aubaine pour la filière française. voyage sur les routes de la soie de #porc @mention [url];;
@mention bah dans la majorité des cas sont des symptômes grippaux comparables aux crises annuelles de grippe.;;
@mention ça va piquer de la même manière chez nous dans quelques jours quand les symptômes vont se déclencher et s’intensifier. comme d’habitude, ils prennent les choses à la légère, la réalité va les rattraper..;;
@mention un état depressif je dirais plus que c'est un moment de ta vie où tu vas avoir les symptomes de la depression mais que ce n'est que passagé  alors que la depression est une maladie que tu vas garder plus ou moins sur le long terme;;
@mention ça fait 2 semaines c'est sérieux en france juste comme les symptômes se déclare après la période d'incubation bah le délai est traître et le faible taux de mort nous donnent de l'insouciance en se disant bah c'est rien 1 ou 3% de mort. bref réflexion irréfléchi et égoïste en vrai;;
@mention j’ai tous les symptômes depuis mardi et je confirme (auj j’me sens légèrement mieux mais tjrs très fatigué voila);;
@mention vous êtes sérieux ? en ces moments d'épidémie, des milliers de gens coincés sur les quais et dans les trains à saint lazare ? tout le monde tousse, comment voulez vous que l'épidémie ne se propage pas avec un tel service ? honteux.;;
@mention ils font des tests en masse compare a nous donc ca detecte plus tot les cas. je vois que ca, nous les cas quon a cest que des mecs a symptome pck on fait des tests que aux mecs qui en ont;;
@mention c'est une maladie où tu as comme symptôme principal des règles douloureuses, et autres douleurs au niveau de la zone pelvienne. toutes les femmes atteintes d'endometriose ne le sont pas le même facon, tu peux avoir des infos sur ce site si tu veux : [url];;
il me manque que les difficulté respiratoire mais d’après son témoignage c’est arrivé 1 semaine après les toux et la fièvre... j’attend;;
🦠 #coronavirus et #49al3 pour #reformeretraites  🗨@mention :  «tous à l’assemblée nous avons plus de 49.3 de fièvre et tout ça a disparu de l’actualité dans la période »  #les4v [url];;
peut-on avoir des symptômes plus détaillés ?? parce que là je pense que paris est rentré dans la psychose pour le moindre rhume...👀👀👀. #covidー19;;
@mention bh ça c’est sure depuis le début je savais moi je pense que je l’ai déjà chopé après est-ce que je vais développer les symptômes jsais pas trop;;
@mention oui, je tousse juste un peu;;
@mention la fièvre c’est au dessus de 38,5 sinon on parle de fébricule 😉;;
@mention le samu est saturé mais depuis le retour de mes parents d’alsace mes frères et ma mère ont développé les symptômes;;
🗳 élections municipales #fontainebleau - 1er tour inscrits :10.163 votants : 4.194 blancs : 35 exprimés : 4.110 liste 1 frédéric valletoux : 48,8% liste 2 cédric thoma : 22,9% liste 3 geneviève machery : 12,5% liste 4 : roseline sarkissian : 8,8% liste 5 isabelle olzenski : 6,9%;;
carrément là on vit dans un monde de crasseux comment tu peut tousser sans m’être ton bras devant toi;;
@mention @mention @mention ce qu'il foudrai faire c'est, on a les symptômes on n'appelle le 15 il devrait venir faire le teste et si il est positif c'est là qu'il devrait être treter avec les 2 inti virus cheloroquine;;
@mention pourquoi tu tousse ?;;
@mention si non faire un blocage a coup de toux ? 😂;;
"""tous les covid-positifs ne sont pas des anosmiques (perte d'odorat), mais tous les anosmiques isolés sans cause locale, sans inflammation, sont covid-positifs"". et ca arrive plutot chez les 23-45 ans. #covid19 #symptomes  [url] via @mention";;
covid-19 : symptômes, durée de la maladie, incubation, traitements [url];;
@mention bon courage emmanuelle et j’espère que les symptômes ne seront pas trop forts, bon courage à vous et prenez soin de vous et de votre famille (nadine de nogent), je vous embrasse (à distance);;
nicole #belloubet, #ministre de la #justice, touchée par une légère #fièvre cette nuit, après avoir été en contact avec des #députés contaminés par le #coronavirus, s'est soumise par précaution à un test de #dépistage ce matin. les résultats seront connus en début d’après-midi.;;
@mention oui enfin il faut 14j pour developper des symptomes. ca fait pas 14j qu'ils sont confines les italiens.;;
@mention aucun symptôme mais il tousse;;
mbappé c’est un ouf il a des symptômes de corona 😪;;
le coronavirus rend tout le monde paranoïaque je viens de tousser devant mon ordi et l'antivirus a démarrer;;
@mention @mention le covid n’a pas ce genre de symptômes, cet homme est visiblement ivre.;;
y a un mec c'est sur il a le virus ça fait 1/4 d'heure il tousse non stop l'autre il mange un couscous bière;;
succinct le protocole pr les masques ds les hôpitaux français face à patient #covid19 est •si patient ne tousse pas :masque chirurgical pr patient et soignant •si patient tousse ou gestes à risques (intubation/aspiration/détubation):masque #ffp2 mais masques manquent:stt ffp2 [url];;
@mention je sors de 15j très durs de covid. prévenir son généraliste des symptômes - conseil, surveiller la respiration (faire le test : 8 à 10 secondes sans respirer sans provoquer de toux est bon signe).  - si urgence respiratoire appelez immédiatement le samu. sinon repos et patience;;
@mention 3 jours avant l'apparition de la fièvre et d'une gêne respiratoire. mais la toux est apparue tout de suite.;;
"""lorsque la fièvre tombera, il verra l'obscénité de son opportunisme"", interview de jh eyraud dans le @mention à propos de devinez qui 😅";;
@mention @mention @mention un conseil toussez dans votre coude mais lavez bien les vêtements aprés ... et posez vous la question de pourquoi les chinois désinfectent même les rues ,quand les caddis et les transports en commun ne le sont pas ici ... amateurismes et dénis😷😷😷[url];;
quand quelqu’un tousse à côté de moi #coronavirusfr #covid19 #covid_19 #coronavirusupdate #coronavirusparis #coronavirusfrance [url];;
#macron20h👉🏼limitons nos contacts (pas plus de 5), respectons les gestes barrières ! 🤝se laver régulièrement les mains 💪🏼tousser dans son coude 🤧utiliser un mouchoir à usage unique ❌ ne pas se serrer la main 😷porter un masque si vous êtes malades (si vous en trouvez) #covid19;;
@mention @mention @mention @mention @mention @mention @mention aussi graves que les effets secondaires provoqués par des sirops pour la toux 😂;;
@mention tu arrives  tu tousse très fort  tu va voir il vont repousser de 15 jours  😅;;
quelques mesures simples de prévention : toussez dans le coude, lavage des mains fréquent, masque chirurgical si toux et symptômes respiratoires ... #coronavirus #covid19 [url];;
vu les symptômes que j’avais, c’est à dire exactement ceux du coronavirus, je suis sur que c’est lui que j’ai eu, mais je l’ai vaincu en 2 jours sans problème ! 🦠🤛💊💥💪🏻👌🏻🙂;;
@mention euh bah pas la grippe pck j'ai pas de fievre genre g juste un peu mal a la gorge et je tousse mais depuis aujourd'hui j'ai mal aux poumons (: ...;;
7. le rôle des généralistes. en cas de symptômes suggérant une éventuelle infection, le patient est invité à rester à la maison, et à s’isoler.le médecin généraliste doit surveiller l'évolution des symptômes tout en évitant autant que possible le contact direct avec ces patients.;;
@mention il test dès les premiers symptômes donc la prise en charge des patients les plus vulnérables ce fait très rapidement en france on attend que le virus te bouffe les poumons;;
@mention grande boîte de wine &amp; spirits française. pas de télétravail mais si symptôme on reste à la maison pdt 15 jours. et on est incité à prendre nos laptops en partant le soir;
@mention nope. possible encore que ça soit une simple grippe mais à priori j’avais tous les symptômes du covid.;;
les gens à partir d’aujourd’hui préféreront que tu péte que tu tousse 🤣🤣;;
nouveau dilemme moral chez les intellectuels français : peut-on rire de toux ?;;
@mention mdr on fait que si y’a symptômes;;
stand in #frankreich : 7730 fälle (+16,5% in 24 std), 175 tote (+27). 2579 im krankenhaus, 699 auf der intensivsation. 5000 sind geheilt oder mit schwachen symptomen in quarantäne. #covid19 #covid19france [url];;
